claiminternalnumber,claimcolour,treatmentgroup,accept_automatic,insurancetype,privatefinanced
1,Green,2,1,property,1
2,Yellow,0,1,auto,1
3,Yellow,4,0,travel,1
4,Green,3,0,property,1
5,Yellow,2,1,property,1
6,Green,3,1,property,0
7,Yellow,1,1,auto,1
8,Yellow,2,1,auto,1
9,Yellow,0,1,travel,0
10,Green,0,1,auto,1
11,Yellow,4,1,auto,1
12,Yellow,2,1,travel,0
13,Yellow,2,1,property,1
14,Green,0,1,property,1
15,Yellow,1,1,auto,1
16,Red,4,1,travel,1
17,Yellow,0,1,auto,1
18,Green,4,1,auto,1
19,Yellow,0,1,life,1
20,Red,4,1,life,1
21,Yellow,0,1,travel,1
22,Yellow,1,1,auto,1
23,Yellow,4,0,life,1
24,Green,3,1,property,1
25,Red,4,1,travel,1
26,Green,3,0,property,1
27,Yellow,4,1,travel,1
28,Green,4,1,auto,1
29,Yellow,2,1,auto,1
30,Green,0,1,auto,1
31,Green,4,1,property,1
32,Red,4,1,property,1
33,Yellow,2,1,life,1
34,Yellow,0,1,travel,0
35,Yellow,4,1,auto,1
36,Green,4,1,auto,1
37,Yellow,4,1,auto,1
38,Yellow,4,1,auto,1
39,Yellow,4,1,auto,1
40,Yellow,0,1,travel,1
41,Green,2,1,property,1
42,Green,0,1,property,0
43,Yellow,1,1,auto,0
44,Yellow,1,1,auto,1
45,Yellow,3,1,property,1
46,Yellow,0,0,auto,1
47,Red,4,0,travel,1
48,Yellow,4,1,life,1
49,Yellow,4,1,property,1
50,Yellow,4,1,travel,1
51,Yellow,3,1,auto,1
52,Yellow,3,1,property,1
53,Green,0,1,property,1
54,Green,4,1,auto,1
55,Yellow,1,1,auto,1
56,Green,4,1,auto,1
57,Green,2,1,auto,1
58,Yellow,3,0,property,0
59,Yellow,1,1,auto,1
60,Green,4,1,property,0
61,Green,4,1,property,1
62,Green,3,0,auto,1
63,Red,2,1,property,1
64,Yellow,2,1,travel,1
65,Green,3,1,auto,1
66,Yellow,2,0,property,0
67,Yellow,3,1,auto,0
68,Yellow,1,1,auto,1
69,Yellow,2,1,property,1
70,Yellow,3,1,property,1
71,Yellow,3,1,travel,1
72,Yellow,0,1,auto,1
73,Yellow,1,1,auto,1
74,Green,1,1,life,1
75,Yellow,2,1,auto,1
76,Yellow,1,1,life,1
77,Green,1,1,life,1
78,Yellow,2,1,property,1
79,Green,3,1,auto,1
80,Green,2,1,auto,1
81,Green,1,1,auto,1
82,Yellow,1,1,property,0
83,Green,3,1,auto,1
84,Green,2,1,property,1
85,Yellow,0,1,life,1
86,Yellow,0,1,auto,1
87,Red,0,1,life,1
88,Yellow,4,1,auto,1
89,Yellow,0,1,property,1
90,Yellow,1,1,auto,1
91,Yellow,2,1,auto,1
92,Green,3,1,auto,1
93,Green,0,1,auto,1
94,Yellow,1,1,property,0
95,Yellow,3,1,property,1
96,Yellow,2,1,property,1
97,Green,0,0,auto,1
98,Yellow,3,1,life,1
99,Yellow,3,1,auto,1
100,Green,3,1,auto,1
101,Yellow,0,1,property,1
102,Green,2,1,property,1
103,Green,3,1,auto,1
104,Yellow,3,0,auto,1
105,Green,3,1,auto,1
106,Yellow,2,1,travel,1
107,Green,1,1,property,1
108,Green,3,1,property,1
109,Yellow,4,1,auto,1
110,Yellow,1,1,auto,1
111,Yellow,4,1,auto,1
112,Yellow,2,1,property,1
113,Yellow,2,1,life,1
114,Yellow,2,1,property,1
115,Green,1,1,auto,1
116,Yellow,1,1,life,1
117,Yellow,1,1,auto,1
118,Yellow,4,1,travel,1
119,Red,4,1,travel,1
120,Yellow,3,1,life,1
121,Green,4,1,auto,1
122,Yellow,1,1,auto,1
123,Red,0,1,property,0
124,Yellow,4,1,auto,0
125,Yellow,0,0,property,0
126,Yellow,4,1,property,1
127,Yellow,2,1,travel,1
128,Yellow,4,1,property,1
129,Red,0,1,auto,1
130,Yellow,4,1,auto,1
131,Yellow,1,1,auto,1
132,Yellow,0,1,auto,1
133,Yellow,2,1,property,1
134,Green,3,1,property,1
135,Green,0,1,property,0
136,Yellow,3,1,auto,1
137,Green,3,1,auto,1
138,Yellow,4,1,property,1
139,Green,3,1,property,1
140,Green,3,1,property,1
141,Red,0,1,travel,1
142,Yellow,1,1,property,1
143,Red,3,1,auto,1
144,Yellow,2,1,auto,1
145,Green,4,1,auto,1
146,Red,1,1,travel,1
147,Green,3,1,auto,1
148,Green,0,1,auto,1
149,Yellow,2,1,travel,1
150,Yellow,3,1,auto,1
151,Yellow,1,1,auto,1
152,Yellow,0,0,property,1
153,Green,3,1,property,0
154,Green,3,1,auto,1
155,Green,0,0,property,1
156,Yellow,2,1,auto,1
157,Yellow,4,0,travel,0
158,Green,3,1,auto,1
159,Green,4,1,property,1
160,Yellow,4,1,property,0
161,Yellow,2,1,travel,1
162,Green,2,1,auto,1
163,Yellow,2,1,auto,1
164,Yellow,1,1,property,1
165,Green,1,1,property,1
166,Yellow,0,1,property,0
167,Yellow,4,1,auto,1
168,Yellow,1,1,auto,1
169,Yellow,3,1,property,1
170,Yellow,2,1,property,0
171,Yellow,3,1,travel,1
172,Green,2,1,property,1
173,Green,2,1,auto,1
174,Yellow,2,1,auto,1
175,Yellow,4,1,auto,1
176,Yellow,0,1,auto,1
177,Yellow,2,0,auto,0
178,Green,1,1,property,0
179,Yellow,3,1,auto,1
180,Yellow,4,0,property,1
181,Green,3,1,auto,1
182,Yellow,1,1,auto,1
183,Yellow,4,1,auto,1
184,Yellow,1,1,auto,1
185,Red,0,1,life,1
186,Yellow,3,0,property,1
187,Yellow,0,0,auto,1
188,Yellow,3,1,travel,0
189,Yellow,0,1,life,1
190,Yellow,3,0,travel,1
191,Yellow,2,1,life,1
192,Green,2,1,property,1
193,Yellow,1,1,property,1
194,Yellow,3,1,auto,1
195,Red,4,1,auto,1
196,Green,3,1,travel,1
197,Yellow,3,1,travel,0
198,Yellow,3,1,life,1
199,Yellow,2,1,auto,1
200,Yellow,2,1,travel,0
201,Yellow,1,1,auto,1
202,Yellow,3,1,life,1
203,Yellow,2,0,auto,1
204,Yellow,2,0,property,1
205,Yellow,3,1,travel,1
206,Yellow,1,1,auto,1
207,Green,0,0,property,1
208,Yellow,4,1,travel,0
209,Yellow,4,1,property,1
210,Green,4,0,auto,1
211,Green,3,1,life,1
212,Yellow,2,1,auto,1
213,Green,2,1,auto,1
214,Yellow,1,1,property,1
215,Green,4,1,property,0
216,Yellow,2,1,auto,1
217,Yellow,4,1,property,1
218,Red,4,1,auto,1
219,Yellow,1,0,life,1
220,Yellow,4,1,property,1
221,Green,0,1,auto,1
222,Yellow,1,1,travel,0
223,Yellow,2,0,auto,1
224,Green,4,1,auto,1
225,Yellow,3,1,property,1
226,Yellow,1,1,auto,1
227,Green,3,0,property,1
228,Green,0,1,property,0
229,Yellow,3,0,property,1
230,Yellow,1,0,property,1
231,Yellow,1,0,travel,1
232,Green,0,1,life,1
233,Red,2,1,travel,1
234,Yellow,3,1,auto,1
235,Yellow,1,1,life,1
236,Red,1,1,travel,1
237,Yellow,0,1,travel,1
238,Yellow,1,1,auto,1
239,Yellow,2,1,property,1
240,Yellow,1,1,auto,1
241,Yellow,0,1,auto,1
242,Green,4,1,property,1
243,Yellow,3,1,auto,0
244,Green,4,1,property,1
245,Yellow,1,1,life,1
246,Yellow,3,1,auto,1
247,Yellow,1,0,travel,1
248,Yellow,3,1,auto,0
249,Green,3,1,auto,1
250,Yellow,2,1,auto,1
251,Yellow,3,1,auto,0
252,Yellow,3,1,travel,0
253,Yellow,1,1,auto,1
254,Green,2,1,auto,1
255,Yellow,2,1,auto,1
256,Green,4,1,auto,1
257,Yellow,1,1,travel,1
258,Green,2,1,property,1
259,Yellow,4,1,travel,1
260,Yellow,4,1,travel,0
261,Green,1,1,travel,0
